x,x_approximate,x_unit,parameters_json,dependency_ids_json,precision,display_digits,aoe_table.blackout_kick_dpc,aoe_table.blackout_kick_dpc__approximate,aoe_table.blackout_kick_dpc__formatted,aoe_table.blackout_kick_dpc__error,aoe_table.blackout_kick_dpc__unit,aoe_table.tiger_palm_dpc,aoe_table.tiger_palm_dpc__approximate,aoe_table.tiger_palm_dpc__formatted,aoe_table.tiger_palm_dpc__error,aoe_table.tiger_palm_dpc__unit,aoe_table.breath_of_fire_dpc,aoe_table.breath_of_fire_dpc__approximate,aoe_table.breath_of_fire_dpc__formatted,aoe_table.breath_of_fire_dpc__error,aoe_table.breath_of_fire_dpc__unit,aoe_table.keg_smash_dpc,aoe_table.keg_smash_dpc__approximate,aoe_table.keg_smash_dpc__formatted,aoe_table.keg_smash_dpc__error,aoe_table.keg_smash_dpc__unit,aoe_table.empty_keg_smash_dpc,aoe_table.empty_keg_smash_dpc__approximate,aoe_table.empty_keg_smash_dpc__formatted,aoe_table.empty_keg_smash_dpc__error,aoe_table.empty_keg_smash_dpc__unit
1,1.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,660478591385613/1403808593750,470.490488751,470.49% AP,,dimensionless,713772207603/1437500000,496.537187898,496.54% AP,,dimensionless,414122539701/500000000,828.245079402,828.25% AP,,dimensionless,326651173927/287500000,1136.17799627,"1,136.18% AP",,dimensionless,546696555847/287500000,1901.55323773,"1,901.55% AP",,dimensionless
2,2.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,660478591385613/701904296875,940.980977501,940.98% AP,,dimensionless,2141316622809/3593750000,595.844625477,595.84% AP,,dimensionless,6237114*sqrt(2)/15625 + 214534891701/250000000,1422.65868417,"1,422.66% AP",,dimensionless,522650402339/287500000,1817.91444292,"1,817.91% AP",,dimensionless,29305609244171/7187500000,4077.30215571,"4,077.30% AP",,dimensionless
3,3.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,1981435774156839/1403808593750,1411.47146625,"1,411.47% AP",,dimensionless,4996405453221/7187500000,695.152063057,695.15% AP,,dimensionless,444017027103/500000000 + 8316152*sqrt(3)/15625,1809.88991260,"1,809.89% AP",,dimensionless,718649630751/287500000,2499.65088957,"2,499.65% AP",,dimensionless,34205589954471/7187500000,4759.03860236,"4,759.04% AP",,dimensionless
4,4.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,5283828731084904/3509521484375,1505.56956400,"1,505.57% AP",,dimensionless,713772207603/898437500,794.459500636,794.46% AP,,dimensionless,264431803701/125000000,2115.45442961,"2,115.45% AP",,dimensionless,914648859163/287500000,3181.38733622,"3,181.39% AP",,dimensionless,39105570664771/7187500000,5440.77504901,"5,440.78% AP",,dimensionless
5,5.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,11228136053555421/7019042968750,1599.66766175,"1,599.67% AP",,dimensionless,6423949868427/7187500000,893.766938216,893.77% AP,,dimensionless,94782302901/100000000 + 49896912*sqrt(5)/78125,2375.95598388,"2,375.96% AP",,dimensionless,44425923503/11500000,3863.12378287,"3,863.12% AP",,dimensionless,44005551375071/7187500000,6122.51149566,"6,122.51% AP",,dimensionless
6,6.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,53498765902234653*2**(4/5)/350952148437500 + 120867582223567179/87738037109375,1643.00772355,"1,643.01% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(30)/7187500000,941.158987222,941.16% AP,,dimensionless,244429379103/250000000 + 2079038*sqrt(6)/3125,2607.34383829,"2,607.34% AP",,dimensionless,18936917623*sqrt(30)/25000000,4148.87078069,"4,148.87% AP",,dimensionless,507479662053/224609375 + 18936917623*sqrt(30)/25000000,6408.25849349,"6,408.26% AP",,dimensionless
7,7.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,124830453771880857*2**(3/5)/701904296875000 + 249000428952376101/175476074218750,1688.56254033,"1,688.56% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(35)/7187500000,984.740474094,984.74% AP,,dimensionless,503806001907/500000000 + 74845368*sqrt(7)/109375,2818.10096851,"2,818.10% AP",,dimensionless,214663792057*sqrt(35)/287500000,4417.28041862,"4,417.28% AP",,dimensionless,507479662053/224609375 + 214663792057*sqrt(35)/287500000,6676.66813141,"6,676.67% AP",,dimensionless
8,8.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,17832921967411551*2**(2/5)/87738037109375 + 128132846728808922/87738037109375,1728.59495532,"1,728.59% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(10)/3593750000,1025.30513301,"1,025.31% AP",,dimensionless,64844155701/62500000 + 21829899*sqrt(2)/15625,3013.32340200,"3,013.32% AP",,dimensionless,1698645772811*sqrt(10)/1150000000,4670.94746078,"4,670.95% AP",,dimensionless,507479662053/224609375 + 1698645772811*sqrt(10)/1150000000,6930.33517358,"6,930.34% AP",,dimensionless
9,9.00000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,160496297706703959*2**(1/5)/701904296875000 + 263530957962859587/175476074218750,1764.46514222,"1,764.47% AP",,dimensionless,713772207603/1796875000 + 2141316622809*sqrt(5)/7187500000,1063.40429362,"1,063.40% AP",,dimensionless,1598167945309/500000000,3196.33589062,"3,196.34% AP",,dimensionless,631548333741*sqrt(5)/287500000,4911.94784460,"4,911.95% AP",,dimensionless,507479662053/224609375 + 631548333741*sqrt(5)/287500000,7171.33555739,"7,171.34% AP",,dimensionless
10,10.0000000000,dimensionless,"{""damage_table.blackout_combo"": ""False"", ""damage_table.bring_me_another_3"": ""True"", ""damage_table.counterattack"": ""False"", ""damage_table.dragonfire_brew"": ""True"", ""damage_table.elusive_footwork"": ""True"", ""damage_table.face_palm"": ""True"", ""damage_table.haste_rating"": ""393"", ""damage_table.improved_blackout_kick"": ""True"", ""damage_table.scalding_brew"": ""False"", ""damage_table.season_one_set"": ""False"", ""damage_table.shadopan"": ""False"", ""damage_table.shadowboxing_treads"": ""True"", ""damage_table.treasured_brew"": ""True"", ""defense_table.crit_rating"": ""1091""}","[""aoe_table"", ""damage_table"", ""defense_table""]",30,12,126151410954652083/70190429687500,1797.27366703,"1,797.27% AP",,dimensionless,713772207603/1796875000 + 713772207603*sqrt(2)/1437500000,1099.43937567,"1,099.44% AP",,dimensionless,54864773301/50000000 + 56134026*sqrt(10)/78125,3369.44108388,"3,369.44% AP",,dimensionless,418128845927*sqrt(2)/115000000,5141.94334547,"5,141.94% AP",,dimensionless,507479662053/224609375 + 418128845927*sqrt(2)/115000000,7401.33105827,"7,401.33% AP",,dimensionless
