x,x_approximate,x_unit,parameters_json,dependency_ids_json,precision,display_digits,combo.total,combo.total__approximate,combo.total__error,combo.total__unit
0,0,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2200,2200.00000000,,damage
1/100,0.0100000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2222,2222.00000000,,damage
1/50,0.0200000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2244,2244.00000000,,damage
3/100,0.0300000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2266,2266.00000000,,damage
1/25,0.0400000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2288,2288.00000000,,damage
1/20,0.0500000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2310,2310.00000000,,damage
3/50,0.0600000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2332,2332.00000000,,damage
7/100,0.0700000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2354,2354.00000000,,damage
2/25,0.0800000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2376,2376.00000000,,damage
9/100,0.0900000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2398,2398.00000000,,damage
1/10,0.100000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2420,2420.00000000,,damage
11/100,0.110000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2442,2442.00000000,,damage
3/25,0.120000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2464,2464.00000000,,damage
13/100,0.130000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2486,2486.00000000,,damage
7/50,0.140000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2508,2508.00000000,,damage
3/20,0.150000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2530,2530.00000000,,damage
4/25,0.160000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2552,2552.00000000,,damage
17/100,0.170000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2574,2574.00000000,,damage
9/50,0.180000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2596,2596.00000000,,damage
19/100,0.190000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2618,2618.00000000,,damage
1/5,0.200000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2640,2640.00000000,,damage
21/100,0.210000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2662,2662.00000000,,damage
11/50,0.220000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2684,2684.00000000,,damage
23/100,0.230000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2706,2706.00000000,,damage
6/25,0.240000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2728,2728.00000000,,damage
1/4,0.250000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2750,2750.00000000,,damage
13/50,0.260000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2772,2772.00000000,,damage
27/100,0.270000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2794,2794.00000000,,damage
7/25,0.280000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2816,2816.00000000,,damage
29/100,0.290000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2838,2838.00000000,,damage
3/10,0.300000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2860,2860.00000000,,damage
31/100,0.310000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2882,2882.00000000,,damage
8/25,0.320000000000,dimensionless,{},"[""combo"", ""skill_a"", ""skill_b""]",30,12,2904,2904.00000000,,damage
